ID,Start time,Completion time,Last modified time,Do you agree with the terms and conditions?,Year Level,Institute,Degree Program - IABF - Manila,Degree Program - IARFA,Degree Program - IAS,Degree Program - IE,Degree Program - IHSN,Degree Program - ITHM,Degree Program - FEU Makati,Are you currently a working student?,Are you currently taking Wellness and Recreation Program (WRP) this 1st Semester?,What is your WRP curriculum?,Were you able to secure a slot that is convenient for your time?,What are the reasons that your slot is inconvenient for you?,"What schedule of WRP should be opened with more slots? 

(Select at most 3.)
",There should be a walk-in session (Community Dance Fitness) in the afternoon.,The one fixed booking per week is not enough for me to comply with the minimum-hour requirement.,The WRP booking system is accessible.,Walk-in sessions are more reliable than scheduling an appointment through Power Apps.,"There are enough WRP considerations offered for students with disabilities (physical, mental, etc.)",The WRP time slot I enrolled does not reflect on the student central.,The new policies and guidelines of WRP for the Academic Year 2023-2024 consider the welfare of the students from all year levels.,"On a scale of 1 to 10, how satisfied are you with the overall procedures and new system of the Wellness and Recreation Program?","Please put any other concerns, suggestions, and recommendations you may have in relation to the new guidelines released about the Wellness and Recreation Program that is not stated in this survey."
1347,8/17/23 14:45:59,8/17/23 14:50:51,,Yes,4th Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,No,Yes,2018 curriculum (WRP01XX),Yes,,Wednesday 4:30 PM - 6:00 PM;Monday 12:00 PM - 1:30 PM;Thursday 6:00 PM - 7:30 PM;,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,4,Please release a proper announcement regarding the new system and reduce the required hours. 
1348,8/17/23 14:52:05,8/17/23 14:54:38,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Monday 3:00 PM - 4:30 PM;Wednesday 10:30 AM - 12:00 PM;Wednesday 12:00 PM - 1:30 PM;,Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,Please take back the WRP 3x a week and booking should be made based of the Fixed Schedule assigned to the Student Central
1349,8/17/23 14:53:48,8/17/23 14:56:16,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Accountancy,,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 12:00 PM - 1:30 PM;Monday 1:30 PM - 3:00 PM ;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,There should still be a 3 sessions per week or a CDF every afternoon.
1350,8/17/23 14:44:21,8/17/23 14:57:04,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Monday 4:30 PM - 6:00 PM;Tuesday 4:30 PM - 6:00 PM;Wednesday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,1,"Bring back the old curriculum wherein it's not only pass or failed, also the old system wherein students may book WRP sessions three times a week."
1351,8/17/23 14:53:15,8/17/23 14:58:16,,Yes,2nd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Accountancy,,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);,Tuesday 1:30 PM - 3:00 PM;Wednesday 3:00 PM - 4:30 PM;Thursday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,2,n/a
1352,8/17/23 14:49:56,8/17/23 14:58:43,,Yes,4th Year,Institute of Education,,,,Bachelor of Secondary Education Major in English,,,,No,Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);,Monday 6:00 PM - 7:30 PM ;Thursday 6:00 PM - 7:30 PM;Saturday 6:00 PM - 7:30 PM;,Agree,Strongly Agree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,1,"There was no WRP announcement for us, seniors that are currently taking field study or on the job training. I hope the WRP department will hold an online session again for us since it is heavily inconvenient for us (commute and time). "
1353,8/17/23 14:57:03,8/17/23 14:59:29,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,Employed (Full-time),Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);,Tuesday 7:30 AM - 9:00 AM;Tuesday 9:00 AM - 10:30 AM;Friday 7:30 AM - 9:00 AM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,1,Please consider the amount of working students in FEU.
1354,8/17/23 14:59:22,8/17/23 15:00:17,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,No,No,,,,,,,,,,,,,
1355,8/17/23 14:58:32,8/17/23 15:00:42,,Yes,3rd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);Conflicting Schedule;,Saturday 6:00 PM - 7:30 PM;Saturday 9:00 AM - 10:30 AM;Saturday 7:30 AM - 9:00 AM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,3,Removing WRP for 3rd year and 4th year students
1356,8/17/23 14:55:35,8/17/23 15:02:35,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,No,Yes,2018 curriculum (WRP01XX),Yes,,Wednesday 9:00 AM - 10:30 AM;Thursday 7:30 AM - 9:00 AM;Tuesday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Disagree,Agree,Strongly Agree,1,"The release of the new guidelines is confusing, in regarding to the new booking. Also, the fixed sched is not good especially for us higher years, that we should be focused on our specializations and not be stressing about reaching the number of hours needed for WRP."
1357,8/17/23 15:02:26,8/17/23 15:05:14,,Yes,4th Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,No,Yes,2018 curriculum (WRP01XX),Yes,,Monday 3:00 PM - 4:30 PM;Monday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,"Removal of WRP for upperclassmen, especially those who are having their internship and taking up professional courses."
1358,8/17/23 14:50:36,8/17/23 15:05:39,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,no choice;,Friday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,1,"Many students, like myself, still favored the previous WRP system because you can book at your own pace and manage your time extremely well. The new system, which requires us to attend CDF in the morning in addition to our scheduled time, is inaccessible on my end because I live far from FEU and my trip time will take one hour and thirty minutes to two hours, and the majority of my schedule this semester is 1:30pm. The new system is making me anxious. I'm hoping FEUCSO will take actions because WRP is becoming worse by the semester. "
1359,8/17/23 15:07:25,8/17/23 15:07:52,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,No,No,,,,,,,,,,,,,
1360,8/17/23 15:08:05,8/17/23 15:11:01,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Monday 12:00 PM - 1:30 PM;Tuesday 1:30 PM - 3:00 PM;Thursday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,4,"Rather than having a fixed schedule, return the booking system but remove the limit. "
1361,8/17/23 15:05:38,8/17/23 15:11:23,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 4:30 PM - 6:00 PM;Monday 12:00 PM - 1:30 PM;Monday 1:30 PM - 3:00 PM ;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly disagree,1,Please put the past wrp back and just improve it as we are all used by that system. It just lacks in some areas. 
1362,8/17/23 15:08:57,8/17/23 15:12:01,,Yes,4th Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,Employed (Part-time),Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Saturday 7:30 AM - 9:00 AM;Friday 6:00 PM - 7:30 PM;Saturday 9:00 AM - 10:30 AM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,1,Additional burden for upper/senior year
1363,8/17/23 15:04:55,8/17/23 15:13:34,,Yes,4th Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Tourism Management (Travel and Tours Management Track),,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Tuesday 3:00 PM - 4:30 PM;Thursday 1:30 PM - 3:00 PM;Friday 3:00 PM - 4:30 PM;,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,1,"Mas better parin ang 3x a week na sched tapos passing score na 20hrs credits or the 2018 curriculum Kasi ang hirap na nang choices lang ay yung. Community tuwing umaga which is unfair samin na nakatira sa malayong lugar 4 am need na umalis.

And pinaka convenient talaga ang 2018 curriculum lalo na sa working students hindi sila mahihirapan mag reach ng 20hrs credit para lang makapasa.

Ang maayos lang sa new system ng wrp is yung strict na sila sa attendance mahirap makipag agawan ng Sched tapos hindi rin naman pala papasok yung iba 

For me hindi effective yung new curriculum so please bring back any of the 2 old curriculum thank you
"
1364,8/17/23 15:10:18,8/17/23 15:15:53,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,No,Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);,Monday 7:30 AM - 9:00 AM ;Monday 12:00 PM - 1:30 PM;Tuesday 12:00 PM - 1:30 PM;,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,1,"If changes were to be considered I hope the initial WRP System will be modified if not, retained. The changes from the previous semester was already a struggle for most of the students what more this single-booking scheme. "
1365,8/17/23 15:19:30,8/17/23 15:21:44,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Business Administration (Marketing Management Track),,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Wednesday 7:30 AM - 9:00 AM;Wednesday 9:00 AM - 10:30 AM;Wednesday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,1,Please back the wrp instructions last yr and last sem
1366,8/17/23 15:19:51,8/17/23 15:25:04,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,Employed (Full-time),Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;7:30 AM-9:00 AM. I work graveyard shift and my shift ends at 7 AM. ;Limited Slots of Other Schedules;,Monday 12:00 PM - 1:30 PM;Monday 1:30 PM - 3:00 PM ;Monday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,1,"Bring back the old system, if you can't improve the new system. The new system is WAY worse than before. Hindi rin siya working student-friendly. Think about all students, including the working ones, when implementing a new system. Or at least let us know before enrollment. 

Totally unsatisfied sa WRP. They aim to promote wellness pero it's making OUR wellness worse. "
1367,8/17/23 14:49:11,8/17/23 15:32:07,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;not only are they limited I've spent most of my time supposed to be for wrp just waiting schedules and they haven't peared once;,Thursday 10:30 AM - 12:00 PM;Thursday 9:00 AM - 10:30 AM;Friday 1:30 PM - 3:00 PM;,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,3,"Better communication and earlier announcements are much better especially if it's as important as when we are able to schedule. Walk-in wrp should also be set at a more student-friendly time (afternoon or just before) not everyone can make it to a 6:30 a.m session cause of commute or other class schedules etc. It would honestly be best if we cut the required time to pass down by a significant amount, by half would be the most agreeable time and lessen the reports and paperwork part if not altogether remove that aspect entirely "
1368,8/17/23 15:34:06,8/17/23 15:36:19,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Monday 9:00 AM - 10:30 AM;Wednesday 9:00 AM - 10:30 AM;,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,6,na
1369,8/17/23 15:34:19,8/17/23 15:38:27,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 3:00 PM - 4:30 PM;Thursday 3:00 PM - 4:30 PM;Tuesday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,1,"Fix the booking app. 
Reduce WRP Hours.
Add MORE slots in each activities.
"
1370,8/17/23 15:30:09,8/17/23 15:38:29,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),Yes,,Monday 9:00 AM - 10:30 AM;Thursday 9:00 AM - 10:30 AM;Wednesday 9:00 AM - 10:30 AM;,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,4,Regular updates about the new WRP system and a proper introduction of the booking process to freshmen.
1371,8/17/23 15:38:44,8/17/23 15:40:38,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Language and Literature Studies (Literature Track),,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Saturday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,I hope the wellness in the wellness recreation program speaks its volume.
1372,8/17/23 15:23:39,8/17/23 15:42:36,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Wednesday 9:00 AM - 10:30 AM;Thursday 9:00 AM - 10:30 AM;Monday 9:00 AM - 10:30 AM;,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,5,"As a freshman, I don't have any ideas about WRP, but I highly suggest that wrp should have organized schedule like separate schedules per year/batch so that the students can accomplish their wrp"
1373,8/17/23 15:31:38,8/17/23 15:42:53,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);,Thursday 3:00 PM - 4:30 PM;Thursday 9:00 AM - 10:30 AM;Thursday 1:30 PM - 3:00 PM;,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,5,Give update asap
1374,8/17/23 15:41:19,8/17/23 15:46:29,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Wednesday 4:30 PM - 6:00 PM;Wednesday 3:00 PM - 4:30 PM;Thursday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,1,There should be a clear announcement that would reach all the students instead of them reading posts in facebook groups made by fellow students. This reduces the chance of accidental misinformation since clarifications are being spread through word of mouth. It would also have been appreciated if the revamp of the WRP system was announced prior to enrollment since it is one of the most taxing things that FEU students have to undergo throughout every semester in their minimum 4 year stay at FEU. 
1375,8/17/23 15:44:03,8/17/23 15:48:54,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 10:30 AM - 12:00 PM;Wednesday 10:30 AM - 12:00 PM;Thursday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Disagree,Strongly Agree,Strongly disagree,4,"why are there no dialogues between students and the relevant departments? If wellness is truly their concern why are there no communications nor clear guidelines nor clear understanding between students and the university?

Please abolish reform the wrp system for 3rd years and above :(( 

Wellness Programs will never feel like one if they are mandated as a requirement with lots of barriers in completing so. "
1376,8/17/23 15:41:09,8/17/23 15:49:56,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Because fixed schedule is not an efficient solution. The old way of booking sessions through powerapps is much more convenient. There should be a cancellation feature;,Monday 12:00 PM - 1:30 PM;Tuesday 12:00 PM - 1:30 PM;Thursday 12:00 PM - 1:30 PM;,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,1,"Hello. The new system is not really efficient and effective. If removing the whole WRP is not possible at the future, the best solution that we can do is to bring back the old application in Powerapps and the students can book there anytime. But there should be a cancellation feature where students can cancel a particular session that they have booked in case some circumstances arises so that they can book a different session instead on a different time and date."
1377,8/17/23 15:54:44,8/17/23 15:59:54,,Yes,1st Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,2,"Anong mangyayare sa mga Monday schedule sa wrp? last time wala pa yung app sa powerapps, tas next monday wala pasok then next week monday din. edi tatlong araw kaming di makakapag book. di na nga po maayos yung announcement about WRP and biglang fixed schedule nagka error pa sa WRP app for booking di nagreflect sa powerapps yung WRP nung Monday.
"
1378,8/17/23 15:55:22,8/17/23 16:03:23,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 1:30 PM - 3:00 PM ;Tuesday 3:00 PM - 4:30 PM;Friday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,2,"- Bring back the 3 activities per week so students can finish the course early.
- What will happen if a student’s schedule fell in holiday or activity period? 
- Walk-in CDF cannot even be controlled by the facilitators.
- Provide a clearer information about the new system. Why is the department making students go to their office just to clarify our questions instead of publishing a more in-depth guideline???"
1379,8/17/23 15:59:19,8/17/23 16:08:19,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;Conflicting Schedule;There were only two slots available. One was conflicting with my course subjects that do not have other slots and the other is too early (7:30) for me to realistically accomplish because I commute everyday from Laguna to Manila;,Monday 12:00 PM - 1:30 PM;Wednesday 10:30 AM - 12:00 PM;Thursday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,1,"I agree that having a fix schedule for WRP is a good idea HOWEVER there should be more flexibility in allowing us to choose our time, more slots, and the announcement and orientation should NOT be disseminated at the VERY LAST MINUTE. There is a clear problem with the CDF system where students health and safety is threatened from being crushed to the constraints placed by the current WRP system. One booking per week is not realistic in achieving the the required credit hours without sacrificing the student's WELLNESS. "
1380,8/17/23 16:06:21,8/17/23 16:09:55,,Yes,3rd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 4:30 PM - 6:00 PM;Tuesday 4:30 PM - 6:00 PM;Wednesday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,1,"If it’s not possible for the WRP to be removed from the students this curriculum, they should at least lower the hours needed and make an action with making it accessible and easy for the students to book. "
1381,8/17/23 15:54:07,8/17/23 16:11:43,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Tuesday 1:30 PM - 3:00 PM;Wednesday 10:30 AM - 12:00 PM;Thursday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,4,all of my concerns are covered and stated in this survey.
1382,8/17/23 16:10:09,8/17/23 16:13:37,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Microbiology Track),,,,,No,Yes,2018 curriculum (WRP01XX),Yes,,Friday 12:00 PM - 1:30 PM;Friday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,3,resume 3x a week booking while continue prioritizing the ones in the enrolled time slot
1383,8/17/23 16:09:55,8/17/23 16:16:28,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,No,Yes,2018 curriculum (WRP01XX),Yes,,Monday 1:30 PM - 3:00 PM ;Tuesday 9:00 AM - 10:30 AM;Wednesday 1:30 PM - 3:00 PM;,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly disagree,2,"WRP in the higher year SHOULD be remove or if not, SHOULD LESSEN the required hours."
1384,8/17/23 15:53:20,8/17/23 16:17:26,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Microbiology Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 10:30 AM - 12:00 PM;Wednesday 1:30 PM - 3:00 PM;Friday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,4,"
N/A"
1385,8/17/23 16:12:49,8/17/23 16:20:11,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;Conflicting Schedule;,Monday 10:30 AM - 12:00 PM;Tuesday 10:30 AM - 12:00 PM;Wednesday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,1,"More light activities for those who 
have disabilities and make it 3 times a week not once a week. Consider the higher year since they are more on major subjects .Consider the effort of those who come for the CDF since 15 minutes allotted time for the registration is not enough. Make the CDF at least 3 times a day every so that it will avoid stampede. Overall, the system of the WRP is not really good and not very helpful to students. "
1386,8/17/23 16:19:16,8/17/23 16:22:08,,Yes,1st Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Medical Technology,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Saturday 12:00 PM - 1:30 PM;Monday 7:30 AM - 9:00 AM ;Monday 9:00 AM - 10:30 AM;,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,4,none
1387,8/17/23 16:26:17,8/17/23 16:26:42,,Yes,3rd Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Tourism Management (Travel and Tours Management Track),,No,Yes,2021 curriculum (WRP02XX),Yes,,Saturday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly disagree,1,less the required hours for 3rd and 4th year
1388,8/17/23 16:27:18,8/17/23 16:27:55,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;Conflicting Schedule;,Monday 3:00 PM - 4:30 PM;Thursday 3:00 PM - 4:30 PM;Wednesday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,1,Abolish WRP for 3rd year and above or at least lessen the required hours to pass.
1389,8/17/23 16:27:40,8/17/23 16:32:24,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 10:30 AM - 12:00 PM;Monday 12:00 PM - 1:30 PM;Saturday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,1,none
1390,8/17/23 16:25:24,8/17/23 16:32:33,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Monday 9:00 AM - 10:30 AM;Saturday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly disagree,Agree,1,Yung sa absent Po please pakidagdagan or paalis nalang may mga times Po Kasi na biglang may important na gagawin gaya Ng group works na pwedeng tamaan Yung naka sched na wrp 
1391,8/17/23 16:32:03,8/17/23 16:35:25,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Monday 12:00 PM - 1:30 PM;Monday 1:30 PM - 3:00 PM ;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,5,N/A
1392,8/17/23 16:31:49,8/17/23 16:36:20,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Tuesday 4:30 PM - 6:00 PM;Monday 9:00 AM - 10:30 AM;Wednesday 1:30 PM - 3:00 PM;,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,4,The one reservation per selected schedule pee week is not enought to accomodate the required hours for WRP. 
1393,8/17/23 16:45:27,8/17/23 16:49:06,,Yes,3rd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Medical Technology,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Saturday 12:00 PM - 1:30 PM;Friday 10:30 AM - 12:00 PM;Tuesday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,3,Upper years should have atleast lesser hours to comply. 
